1,*LOCAL.shaikhq.240530151621,4,1,2024-05-30-08.16.11.238384,"SELECT TPCDS.CUSTOMER.C_BIRTH_YEAR , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.CUSTOMER INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CUSTOMER.C_FIRST_SHIPTO_DATE_SK WHERE TPCDS.DATE_DIM2.D_MOY = 12 AND TPCDS.DATE_DIM2.D_YEAR >= 1958"
2,*LOCAL.shaikhq.240530151621,12,1,2024-05-30-08.16.12.871381,"SELECT TPCDS.CATALOG_PAGE.CP_END_DATE_SK , TPCDS.DATE_DIM2.D_MOY FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 4 AND TPCDS.DATE_DIM2.D_SAME_DAY_LQ <= 2484559"
4,*LOCAL.shaikhq.240530151621,24,1,2024-05-30-08.16.24.574183,"SELECT TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK , TPCDS.DATE_DIM2.D_SAME_DAY_LY FROM TPCDS.WEB_SITE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SITE.WEB_CLOSE_DATE_SK WHERE TPCDS.WEB_SITE.WEB_MKT_ID >= 1 AND TPCDS.WEB_SITE.WEB_GMT_OFFSET = -005.00"
5,*LOCAL.shaikhq.240530151621,32,1,2024-05-30-08.16.25.771665,"SELECT TPCDS.CATALOG_PAGE.CP_END_DATE_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_LAST_DOM <= 2481252 AND TPCDS.CATALOG_PAGE.CP_END_DATE_SK = 2451449"
6,*LOCAL.shaikhq.240530151621,40,1,2024-05-30-08.16.26.997895,"SELECT TPCDS.CATALOG_PAGE.CP_CATALOG_PAGE_SK , TPCDS.DATE_DIM2.D_DOW FROM TPCDS.CATALOG_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_PAGE.CP_END_DATE_SK WHERE TPCDS.DATE_DIM2.D_SAME_DAY_LY >= 2414713 AND TPCDS.DATE_DIM2.D_MOY = 9"
7,*LOCAL.shaikhq.240530151621,48,1,2024-05-30-08.16.29.218127,"SELECT TPCDS.CATALOG_SALES.CS_BILL_ADDR_SK , TPCDS.DATE_DIM2.D_DATE_SK FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_PROMO_SK <= 109 AND TPCDS.CATALOG_SALES.CS_EXT_SALES_PRICE <= +00045.36"
8,*LOCAL.shaikhq.240530151621,56,1,2024-05-30-08.16.30.336768,"SELECT TPCDS.WEB_PAGE.WP_CHAR_COUNT , TPCDS.DATE_DIM2.D_DOM FROM TPCDS.WEB_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_PAGE.WP_ACCESS_DATE_SK WHERE TPCDS.DATE_DIM2.D_WEEK_SEQ >= 2240 AND TPCDS.DATE_DIM2.D_QUARTER_SEQ <= 481"
9,*LOCAL.shaikhq.240530151621,64,1,2024-05-30-08.16.32.104983,"SELECT TPCDS.WEB_SALES.WS_EXT_DISCOUNT_AMT , TPCDS.DATE_DIM2.D_YEAR FROM TPCDS.WEB_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_SALES.WS_SHIP_DATE_SK WHERE TPCDS.DATE_DIM2.D_QOY <= 2 AND TPCDS.WEB_SALES.WS_EXT_SHIP_COST >= +12544.30"
10,*LOCAL.shaikhq.240530151621,72,1,2024-05-30-08.16.33.457497,"SELECT TPCDS.WEB_PAGE.WP_CUSTOMER_SK , TPCDS.DATE_DIM2.D_WEEK_SEQ FROM TPCDS.WEB_PAGE INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.WEB_PAGE.WP_ACCESS_DATE_SK WHERE TPCDS.WEB_PAGE.WP_ACCESS_DATE_SK <= 2452574 AND TPCDS.WEB_PAGE.WP_WEB_PAGE_SK >= 54"
11,*LOCAL.shaikhq.240530151621,80,1,2024-05-30-08.16.41.437067,"SELECT TPCDS.CATALOG_SALES.CS_SHIP_CUSTOMER_SK , TPCDS.DATE_DIM2.D_FY_QUARTER_SEQ FROM TPCDS.CATALOG_SALES INNER JOIN TPCDS.DATE_DIM2 ON TPCDS.DATE_DIM2.D_DATE_SK = TPCDS.CATALOG_SALES.CS_SHIP_DATE_SK WHERE TPCDS.CATALOG_SALES.CS_BILL_HDEMO_SK <= 6473 AND TPCDS.CATALOG_SALES.CS_EXT_LIST_PRICE <= +02592.80"
